(ep: 7, it: 13518, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.484, acc_r: 0.440
(ep: 7, it: 18518, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.555, acc_r: 0.540
(ep: 7, it: 23518, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.496, acc_r: 0.400
(ep: 7, it: 28518, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.548, acc_r: 0.540
(ep: 7, it: 33518, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.539, acc_r: 0.440
(ep: 7, it: 38518, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.536, acc_r: 0.660
(ep: 7, it: 43518, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.518, acc_r: 0.540
(ep: 7, it: 48518, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.563, acc_r: 0.680
(ep: 7, it: 53518, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.513, acc_r: 0.560
(ep: 7, it: 58518, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.528, acc_r: 0.540
(ep: 7, it: 63518, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.513, acc_r: 0.480
(ep: 7, it: 68518, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.477, acc_r: 0.420
(ep: 7, it: 73518, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.465, acc_r: 0.560
(ep: 7, it: 78518, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.440, acc_r: 0.360
(ep: 8, it: 771, t: 0.003[s], ept: 0.00/0.10[h]) loss_total: 0.544, acc_r: 0.720
(ep: 8, it: 5771, t: 0.003[s], ept: 0.00/0.06[h]) loss_total: 0.408, acc_r: 0.420
(ep: 8, it: 10771, t: 0.003[s], ept: 0.01/0.06[h]) loss_total: 0.470, acc_r: 0.380
(ep: 8, it: 15771, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.515, acc_r: 0.520
(ep: 8, it: 20771, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.489, acc_r: 0.500
(ep: 8, it: 25771, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.487, acc_r: 0.420
(ep: 8, it: 30771, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.491, acc_r: 0.480
(ep: 8, it: 35771, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.439, acc_r: 0.440
(ep: 8, it: 40771, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.480, acc_r: 0.420
(ep: 8, it: 45771, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.514, acc_r: 0.600
(ep: 8, it: 50771, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.572, acc_r: 0.620
(ep: 8, it: 55771, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.473, acc_r: 0.500
(ep: 8, it: 60771, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.494, acc_r: 0.460
(ep: 8, it: 65771, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.574, acc_r: 0.640
(ep: 8, it: 70771, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.532, acc_r: 0.500
(ep: 8, it: 75771, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.521, acc_r: 0.480
(ep: 8, it: 80771, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.487, acc_r: 0.480
(ep: 9, it: 3024, t: 0.003[s], ept: 0.00/0.06[h]) loss_total: 0.565, acc_r: 0.580
(ep: 9, it: 8024, t: 0.003[s], ept: 0.01/0.06[h]) loss_total: 0.575, acc_r: 0.500
